"Name","Type","Contact","Secondary Contact Person","email","Building","Address1","City","Zip Code","Phone","Accept_Coll","Accept_Criteria","Public","Research","Availibility","HowMany"
"Virginia Archaeological Resource Center of the ASV","ASV","Harry Jaeger","Martha Williams","snafu.manor@verizon.net",,"P.O. Box 70395","Henrico",23225,"804-273-9291","Y","At present, consensus of ASV Board of Directors (pending re-establishment of ASV Collections Committee)",,"Public, Research","By appointment",8
"Mary Washington Center for Historic Preservation","CRM Firm",,,,,,"Fredericksburg",,,,,,,,
"Browning & Associates, Ltd.","CRM Firm","Lyle Browning","N/A","lebrowning@att.net",,"2240 Chartstone Drive","Midlothian",23113,"757-253-0528","Y",,,,,"appox. 140"
"Thunderbird Archaeology","CRM Firm","Kim Snyder","n/a","ksnyder@wetlandstudies.com",,"5300 Wellington Branch Drive, Suite 100","Gainesville (VA)",20155,"908-362-9500",,,,,,
"Virginia Commonwealth University","CRM Firm","Bernard Means, PhD","N/A","bkmeans@vcu.edu","Lafayette Hall","312 N. Shafer St.","Richmond",,"804-827-1111 (o)",,,,,,
"William and Mary Center for Archaeological Research","CRM Firm","Joseph B. Jones","n/a","jbjone@wm.edu",,"P.O. Box 8795","Williamsburg (VA)",23187,"301-306-6986","No","WMCAR only stores collections of artifacts recovered during WMCAR projects temporarily until each project is complete, with final disposition determined on a project-by-project basis. WMCAR does currently hold collections associated with older projects for which final disposition of the collections has not yet been negotiated.",,"Yes","by appointment",384
"James River Institute, JRIA","CRM Firm","Garrett Fesler","N/A","gfesler@jriarchaeology.com",,"223 McLaws Circle, Suite 1","Williamsburg",23185,"808-385-9203",,,,,,
"Fort Monroe","Federal Agency","Paul Presenza, Cultural Resources Specialist","N/A","paul.presenza@us.army.mil"," ","318 Cornog Lane, Building 28","Fort Monroe",23651,"757-788-5365 (o)","N","N/A",,"Research","By appointment",
"George Washington's Birthplace National Monument","Federal Agency","Rijk Morawe","N/A","rijk_morawe@nps.gov","Superintendent, Washington's Birthplace","1732 Popes Creek Road","Colonial Beach",22443,"804-224-1732 x237","Y","Only archaeological material collected on park property",,"Research","By appointment",62
"Fort Lee","Federal Agency","Amy Wood, Archaeologist/Collections Manager-Versar Inc.","Amanda Vtipil, Curator","amy.wood@us.army.mil","Regional Archaeological Curation Facility","1816 Shop Road","Fort Lee",23801,"804-734-4434 (o)","Y","As long as they are up to standards and from federal entities.  If the new collections are not up to standards, depositors can pay to have the collections prepared for curation by our staff.",,"Research","By appointment",118
"USDA Forest Service-George Washington and Jefferson National Forests","Federal Agency","Mike Madden","N/A","mjmadden@fs.fed.gov",,"5261 Valleypointe Parkway","Roanoke",24019,"540-265-5212","Y","Only collections excavated on George Washington and Jefferson National Forest land",,"N","Not at all","3,000 sites on record of which at least half have artifacts from Late Archaic to 20th century.  284 cubic feet of collections"
"Virginia National Guard Artifact Curation Facility","Federal Agency","Beverly Boyko, Collections Manager","N/A","bboyko@vt.edu","Virginia Army National Guard, VAFM-E Building 316, Fort Pickett",,"Blackstone",23824,"434-294-1866","Y","Everything collected during NHPA Section 106/110 activities sponsored by the VA Army Guard and all inadvertant discoveries on Fort Pickett or other VA Army Guard Facilities",,"Research","M-F 7-3:30","313 [sites]"
"Jamestown Settlement","Federal Agency","Roberto (Bobby) Grainger, Collections Manager","N/A","N/A","Jamestown-Yorktown Foundation","P.O. Box 1607","Williamsburg","23187-1607","757-253-4952","Y",,,"Research",,"179,000 archaeological artifacts"
"Quantico","Federal Agency","John Haynes, Archaeological/Curation Resources Manager","N/A","john.h.haynes@usmc.mil","Marine Corps Base, NREA (B046)",,"Quantico","22134-5001","703-432-6781","Y",,,,,82
"Yorktown Victory Center","Federal Agency","Roberto (Bobby) Grainger, Collections Manager","N/A","N/A","Jamestown-Yorktown Foundation","P.O. Box 1607","Williamsburg","23187-1607","757-253-4952","Y",,,"Research",,"1270 archaeological artifacts"
"Dahlgren Naval Surface Warfare Center","Federal Agency","Mary Geil","N/A","mary.b.geil@navy.mil","Naval Support Facility Dahlgren","18329 Thompson Road, Suite 226","Dahlgren","22448-5119","540-653-8584",,,,,,
"Historic Services Department, City of Newport News","Local Jurisdiction","Aaron Lamb","N/A","alamb@nngov.com",,"9285 Warwick Blvd.","Newport News",23607,"757-532-0022 (o)","Y","Depends on historical as well as local significance.  Condition and size do play a part in the decision",,"Public, Research","By appointment",15
"Loudoun County","Local Jurisdiction","Michael Clem","N/A","michael.clem@loudoun.gov","Department of Building & Development","1 Harrison Street","Leesburg","20177-7000","703-737-8862 (w)","N","N/A",,"Research","By appointment",25
"Halifax County Historical Society","Local Jurisdiction","Barbara Bass","N/A","bdbass@cstone.net",,"7040 Philpott Rd.","So. Boston",24592,"434-753-2137","Y","Rarely",,"N","Not at all",
"Gloucester County","Local Jurisdiction","Georgette N. Hurley, Assistant County Administrator","N/A","ghurley@gloucester.info","Gloucester County Adminstrator's Office","P.O. Box 329","Gloucester",23061,"804-693-4042","Y","Any requests are evaluated on a case-by-case basis",,"Public, Research","By appointment",3
"Alexandria Archaeology Museum","Local Jurisdiction","Pam Cressey, City Archaeologist","N/A","pamela.cressey@alexandria.gov",,"105 N. Union Street #327","Alexandria",22314,"703-746-4399","Y","In theory only those related to Alexandria, but Code work is accepted on a case by case basis although it is eventually required to go to an ""appropriate"" facility",,"Public, Research","By appointment","3300 Cu feet of OHA and Alexandria sites"
"Fairfax County Park Authority","Local Jurisdiction","Elizabeth Crowell","Aimee Wells","elizabeth.crowell@fairfaxcounty.gov","James Lee Community Center","2855 Annandale Road","Falls Church",22042,"703-534-3881 x402 (w)","Y","From Fairfax County",,"Research","By appointment","3 million artifacts from ~3600 sites stored in ~1000 boxes"
"Eastern Shore of Virginia Historical Society (ESVHS)","Local Jurisdiction","Peter Holland, Director","N/A","kerplace@verizon.net",,"P.O. Box 179","Onancock",23417,"757-787-8012","Y","Only those recovered from the Ker Place property",,"Research","By appointment",1
"Manassas Museum System","Local Jurisdiction","Roxana Adams, Museum Curator","N/A","radams@ci.manassas.va.us","Manassas Museum System","9101 Prince William Street","Manassas",20110,"703-257-8452","Y","Must be relevant to scope of collection.  For archaeology, no unscientifically excavated materials",,"N","Not at all",8
"Carlyle House Historic Park","Local Jurisdiction","Sarah Coster, Park Manager (former Curator)","N/A","Carlyle@NVRPA.org","Carlyle House Historic Park","121 N. Fairfax Street","Alexandria",22314,"703-549-2997","Y","Materials excavated on property",,"Research","By appointment",4
"Salem Museum & Historical Society","Local Jurisdiction","John Long, Director and Curator","N/A","jlong@roanoke.edu",,"801 East Main Street","Salem",24153,"540-389-6760","Y","Relevance to mission statement",,"Public, Research","By appointment",1
"Isle of Wight County Museum","Local Jurisdiction","Tracey Neikirk, Curator",,"tneikirk@isleofwightus@net",,"103 Main Street","Smithfield",23430,"757-356-1014","Y","How they relate to the mission of the museum",,"Research","By appointment",12
"Lynchburg Museum System","Local Jurisdiction","Gregory R. Krueger","Douglas K. Harvey, Museum System Director","greg.krueger@lynchburgva.gov",,"P.O. Box 529","Lynchburg",24505,"434-455-4423","Y","Available room and significance",,"Research","By appointment",1
"Prince William County Archaeology","Local Jurisdiction","Justin Patton",,"jspatton@pwcgov.org ",,"Planning Office, DS940, 5 County Complex Court, Suite 210, ","Prince William","22192-9201","703-792-5729",,,,,,
"Madison County Historical Society/Madison Arcade","Local Jurisdiction","Carol Nash, James Madison University","Beppy White","nashcl@jmu.edu","Madison County Historical Society","P.O. Box 467","Madison",22727,,,,,"Research","By appointment with Carol Nash",2
"Gunston Hall Plantation","Other State Agency","Dave Shonyo, Assistant Archaeologist",,"archaeology@gunstonhall.org","Gunston Hall","10709 Gunston Road","Mason Neck",22079,"703-550-9220","Y","Only material excavated at Gunston Hall",,"Research","Case-by-case basis",5
"Virginia Department of Historic Resources","Other State Agency","Dee DeRoche","N/A","dee.deroche@dhr.virginia.gov","Central Office","2801 Kensington Avenue","Richmond",23221,"804-367-2323 x134","Y","That they be from Virginia and meet other criteria.  Box fees payable for care and management in perpetuity.",,"Public, Research","By appointment",
"Southwest Virginia Museum Historical State Park","Other State Agency",,,"swvamuseum@dcr.virginia.gov","Southwest Virginia Museum Historical State Park","10 West First Street","Big Stone Gap","24219-0742","276-523-1322",,,,,,
"Virginia State Parks","Other State Agency","Keith Morgan","N/A",,,,,,,,,,,,
"Historic Hopewell Foundation Inc (HHFI)","Private","Shirley Belkowitz","N/A","sbelkowitz@verizon.net",,"603 Brown Ave","Hopewell",23860,"804-458-7775","Uncertain","N/A",,"N","Not at all",3
"Rosewell Foundation","Private","Mary Warren, Execuative Assistant","David Brown/Thane Harpole","rosewell@inna.net",,"P.O. Box 1456","Gloucester",23061,"804-693-2585 (Mary Warren)","Y","Only those related to the historic plantation, Rosewell.",,"Public, Research","By appointment",1
"Menokin Foundation","Private","lyle","N/A","spope@menokin.org",,"4037 Menokin Road","Warsaw",22572,"804-333-1776","Y","Only those related to the historic plantation, Menokin",,"Research","By appointment",1
"MacCallum More Museum & Gardens","Private","Liz Lowrance","N/A","mmmg@verizon.net",,"P.O. Box 104","Chase City",23924,"434-372-0502","Y","Mostly items of local interest, archaeological and historical artifacts, especially those relating to the Mecklenburg Hotel and the Thyne Institute.",,"Public, Research","Mon-Fri 10-5, Sat 10-1 and by appointment",1
"George Washington's Office Museum","Private","Cissy Shull, Executive Director","N/A","cshull@winchesterhistory.org",,"1340 S. Pleasant Valley Road","Winchester",22601,"540-662-6550","N","N/A",,"N","Not at all",1
