Repository Name,ShortName,Type of Repository,lat,long,Contact Person,Secondary Contact Person,Primary Email Address,Seconday Email Address,Building,Street Address,City,Zip Code,Primary Phone Number,Secondary Phone Number,Q3 Does your repository accept new collections?,Q3 What is your basis for accepting archaeological collections?,Q4 Are the collections available to the public or for research to others outside the institution? ,Q5 When are they available?,Q6 Which collections do you believe contribute to important research about Virginia's history?,"Q6 Which collections do you highlight to donors, legislators, researchers, or the public?",Q7 How many archaeological collections do you have?,Comments
Avoca Museum,Avoca Museum,Private,37.122254,-79.273807,Frank Murray- Director,N/A,,N/A,,1514 Main Street,Altavista,24517,434-369-1076,N/A,N,N/A,"Yes, Research",By appointment,"""Arrowheads""","""Arrowheads""",1,
Salem Museum & Historical Society,Salem Museum and Historical Society,Local Jurisdiction,37.2945,-80.0475,John Long- Director and Curator,N/A,jlong@roanoke.edu,jlong@salemmuseum.org,,801 East Main Street,Salem,24153,540-389-6760,N/A,Y,Relevance to mission statement,Yes,By appointment,44RN21-Graham White dig,,1,
"Eastern Shore of Virginia Historical Society (ESVHS), Ker Place","Eastern Shore of Virginia Historical Society (ESVHS), Ker Place",Local Jurisdiction,37.7118,-75.7473,Peter Holland- Director,N/A,kerplace@verizon.net,N/A,,P.O. Box 179,Onancock,23417,757-787-8012,N/A,Y,Only those recovered from the Ker Place property,"Yes, Research",By appointment,All-for understanding Federal Period life and decorative arts,,1,
Lynchburg Museum System,Lynchburg Museum System,Local Jurisdiction,37.413758,-79.1442559,Gregory R. Krueger,Douglas K. Harvey- Museum System Director,greg.krueger@lynchburgva.gov,doug.harvey@lynchburgva.gov,,P.O. Box 529,Lynchburg,24505,434-455-4423,434-455-6226,Y,Available room and significance,"Yes, Research",By appointment,One archaeological collection that was dug at Point of Honor- a Federal era plantation mansion built by Dr. George Cabell in 1815.  Several digs have been performed at the site to locate remains of outbuildings- etc.  While many artifacts have been dug- very few constitute significant finds. ,,1, 
MacCallum More Museum & Gardens,MacCallum More Museum,Private,36.8018485,-78.4561804,Liz Lowrance,N/A,mmmg@verizon.net,N/A,,P.O. Box 104,Chase City,23924,434-372-0502,N/A,Y,Mostly items of local interest- archaeological and historical artifacts- especially those relating to the Mecklenburg Hotel and the Thyne Institute.,Yes,Mon-Fri 10-5- Sat 10-1 and by appointment,The Arthur G. Robertson Collection (44X32) consists of approximately 44 standard size Hollinger boxes of prehistoric artifacts (35 of lithics and 9 of ceramics) and numerous frames of stone implements from Virginia and other states.  Many artifacts from this collection are on display at MMMG and in the projectile point spread created by K. Egloff in the Virginia Historical Society's Story of Virginia exhibit.,,1,
Historic Christ Church Foundation,Historic Christ Church Foundation,Private,37.68007,-76.4231269,Robert Teagle- Education Director and Curator,N/A,rteagle@christchurch1735.org,N/A,,P.O. Box 24,Irvington,22480,804-438-6855,N/A,Y,Only those related to historic Christ Church,Yes,By appointment,We believe our collections are significant in their potential to contribute towards the study of one of America's most significant colonial landscapes- and particularly the architecture of the standing church (ca. 1732) and the 17th-and 18th-century surroundings of this building and its predecessor- built ca. 1670.  Our emphasis has been the consistent recovery of material from all periods of occupation,,1,
Menokin Foundation,Menokin Foundation,Private,38.0116166,-76.7906141,Lyle,N/A,spope@menokin.org,N/A,,4037 Menokin Road,Warsaw,22572,804-333-1776,N/A,Y,Only those related to the historic plantation- Menokin,"Yes, Research",By appointment,We believe our collections are significant in their potential to contribute towards the study of plantation life throughout the historic period.  Our emphasis has been the consistent recovery of material from all periods of occupation.  We are nearing completion of an evaluation of our collections and a synthesis of prior excavations in GIS,,1,
Rosewell Foundation,Rosewell Foundation,Private,37.4235,-76.5951,Mary Warren- Executive Assistant,David Brown/Thane Harpole,rosewell@inna.net,fairfield@inna.net,,P.O. Box 1456,Gloucester,23061,804-693-2585 (Mary Warren),804-694-4775 (Dave and Thane),Y,Only those related to the historic plantation- Rosewell.,Yes,By appointment,We believe our collections are significant in their potential to contribute towards the study of plantation life throughout the historic period.  Our emphasis has been the consistent recovery of materials from all periods of excavation.,,1,
College of William and Mary,College of William and Mary,University,37.264739,-76.705043,Dr. Martin Gallivan,[Bob Ripley landowner of Werowocomoco],mdgall@wm.edu,[for Werowocomoco]  bobripleyesq@aol.com,Department of Anthropology College of William & Mary, ,Williamsburg,23187-8795,757-221-3622 (Gallivan),804-694-4775 (Ripley),Y,Only those related to Werowocomoco,"Yes, Research",By appointment,We believe these collections are significant in their potential to contribute towards the study of a contentious period of our shared heritage (1607-1609) while also providing insight into the long history of Virginia Indians that lived on the site as far back as the Archaic period.  In addition- the collection includes significant colonial material culture from subsequent occupations from the mid-17th century through the early 20th century.,Material related to Virginia Indians and contentious period of our shared heritage (1607-1609),1,
Wilton House Museum,Wilton House Museum,Private,37.562524,-77.519615,William Strollo,Dana Hand Evans- Executive Director,wiltonmuseum@comcast.net,N/A,,215 S. Wilton Road,Richmond,23226,804-282-5936 x2 (William Stollo),804-282-5963 x2,N,N/A,Yes,At all times,,,1,
George Washington's Office Museum,George Washington's Office Museum,Private,39.169597,-78.160296,Cissy Shull- Executive Director,N/A,cshull@winchesterhistory.org,N/A,,1340 S. Pleasant Valley Road,Winchester,22601,540-662-6550,N/A,N,N/A,N,Not at all,,,1,
Old Jail Museum,Old Jail Museum,Private,38.7136442,-77.7961837,Frances A. R. Allshouse,N/A,oldjailmuseum@rcn.com,N/A,,P.O. Box 675,Warrenton,20188,540-347-5525,N/A,Y,New collections are accepted as gifts or loans.  Loans may be indefinite or for a specified period.,Yes,By appointment,Archival holdings,Nice- three-dimensional artifacts,2,
